Customer ID,First Name,Last Name,Phone Number,Email,Age,Gender,Marital Status,address,Employment Status,Income,pan_number,Account Number,CIBIL Score,Number of Dependents
CUST10001,Suresh,Bhat,9613547812,suresh.bhat100@example.com,32,Male,Single,"7-1-203/653 Banjara Hills,Hyderabad",Unemployed,"4,10,000",ABCD9838R,3.69E+11,616,2
CUST10002,Aarav,Shetty,9778265777,aarav.shetty101@example.com,48,Female,Married,"3-9-681/453 Yousufguda,Secunderabad",Self-Employed,"19,02,000",AAAA7910X,6.87E+11,792,0
CUST10003,Kavya,Das,8509204039,kavya.das102@example.com,51,Male,Single,"8-4-210/117 Yousufguda,Hyderabad",Self-Employed,"2,43,000",ABCD2423F,2.34E+11,786,2
CUST10004,Pooja,Sharma,8260891025,pooja.sharma103@example.com,28,Male,Single,"1-8-442/389 Banjara Hills,Secunderabad",Unemployed,"25,03,000",AAAP3316T,1.05E+11,637,2
CUST10005,Kavya,Rao,8057908200,kavya.rao104@example.com,46,Female,Married,"8-7-203/21 Ameerpet,Hyderabad",Self-Employed,"24,40,000",XYZA3316Y,4.47E+11,791,4
CUST10006,Sneha,Reddy,7651709262,sneha.reddy105@example.com,41,Female,Married,"1-9-480/92 Ameerpet,Secunderabad",Self-Employed,"30,32,000",AAAA3473C,6.56E+11,732,0
CUST10007,Krishna,Aggarwal,8040872658,krishna.aggarwal106@example.com,35,Male,Single,"4-7-873/437 Banjara Hills,Hyderabad",Unemployed,"3,09,000",XYZA4338X,7.22E+11,855,3
CUST10008,Neha,Shetty,8431065707,neha.shetty107@example.com,54,Female,Married,"1-5-639/797 Yousufguda,Secunderabad",Employed,"10,78,000",AAAA8067H,5.26E+11,386,2
CUST10009,Vivaan,Patel,6182749558,vivaan.patel108@example.com,49,Male,Single,"3-3-141/439 Ameerpet,Hyderabad",Retired,"16,99,000",AAAA4848K,4.15E+11,892,0
CUST10010,Amit,Aggarwal,8086556849,amit.aggarwal109@example.com,53,Female,Single,"6-2-822/962 Kukatpally,Secunderabad",Unemployed,"16,95,000",AAAP5467U,8.29E+11,648,4
